market1,market2,correlation
Abohar,Champadanga,0.851
Abohar,Chandabali,0.899
Abohar,Chandausi,0.924
Abohar,Chandigarh(Grain/Fruit),0.921
Abohar,Chandoli,0.935
Abohar,Chandrapur(Ganjwad),0.852
Abohar,Chandvad,0.827
Abohar,Channapatana,0.707
Abohar,Charra,0.941
Abohar,Chathanoor,0.832
Abohar,Chatta Krushak Bazar,0.868
Abohar,Chengannur,0.618
Abohar,Chhachrauli,0.696
Abohar,Chhindwara(F&V),0.856
Abohar,Chickkaballapura,0.736
Abohar,Chikkamagalore,0.856
Abohar,Chintamani,0.708
Abohar,Chirgaon,0.897
Abohar,Chittorgarh,0.831
Abohar,Chitwadagaon,0.953
Abohar,Chorichora,0.882
Abohar,Churu,0.88
Abohar,Chutmalpur,0.751
Abohar,Dabwali,0.903
Abohar,Dahod(Veg. Market),0.876
Abohar,Damnagar,0.788
Abohar,Dasuya,0.784
Abohar,Davangere,0.699
Abohar,Deori,0.768
Abohar,Devariya,0.949
Abohar,Dewas(F&V),0.822
Abohar,Dhamnod,0.72
Abohar,Dhanaura,0.578
Abohar,Dhand,0.792
Abohar,Dhupguri,0.791
Abohar,Dinanagar,0.858
Abohar,Divai,0.594
Abohar,Doddaballa Pur,0.896
Abohar,Doraha,0.906
Abohar,Dudhansadhan,0.933
Abohar,Dudhi,0.743
Abohar,Durg,0.814
Abohar,Durgapur,0.935
Abohar,Etah,0.899
Abohar,Etawah,0.929
Abohar,Ettumanoor,0.801
Abohar,Falakata,0.884
Abohar,Farukh Nagar,0.851
Abohar,Fatehpur,0.959
Abohar,Fatehpur Sikri,0.952
Abohar,FerozpurZirkha(Nagina),0.931
Abohar,Firozabad,0.949
Abohar,Gadaura,0.871
Abohar,Ganaur,0.893
Abohar,Gangoh,0.637
Abohar,Garh Shankar,0.569
Abohar,Garh Shankar(Mahalpur),0.732
Abohar,Gazipur,0.941
Abohar,Gharaunda,0.895
Abohar,Ghaziabad,0.934
Abohar,Ghiraur,0.928
Abohar,Gohana,0.853
Abohar,Golagokarnath,0.938
Abohar,Goluwala,0.688
Abohar,Gonda,0.934
Abohar,Gopa,0.736
Abohar,Gorakhpur,0.929
Abohar,Gowribidanoor,0.72
Abohar,Gudimalkapur,0.813
Abohar,Gurgaon,0.831
Abohar,Gurusarai,0.887
Abohar,Haatpipliya,0.925
Abohar,Habra,0.906
Abohar,Hamirpur,0.918
Abohar,Hamirpur(Nadaun),0.859
Abohar,Hanumangarh Town,0.897
Abohar,Hanumangarh(Urlivas),0.825
Abohar,Hapur,0.874
Abohar,Harda(F&V),0.889
Abohar,Hardoi,0.905
Abohar,Hindol,0.877
Abohar,Hinjilicut,0.833
Abohar,Hoshangabad,0.709
Abohar,Hospet,0.511
Abohar,Indore(F&V),0.799
Abohar,Jabalpur(F&V),0.768
Abohar,Jafarganj,0.91
Abohar,Jagadhri,0.781
Abohar,Jagnair,0.874
Abohar,Jahangirabad,0.929
Abohar,Jaipur (F&V),0.87
Abohar,Jakhal,0.9
Abohar,Jalalabad,0.831
Abohar,Jalandhar City(Jalandhar),0.801
Abohar,Jalgaon,0.612
Abohar,Jalore,0.938
Abohar,Jalpaiguri Sadar,0.774
Abohar,Jalukie,0.566
Abohar,Jasra,0.939
Abohar,Jasvantnagar,0.922
Abohar,Jaunpur,0.811
Abohar,Jind,0.881
Abohar,Jodhpur(F&V)(Paota),0.811
Abohar,Junnar(Narayangaon),0.851
Abohar,K.R. Pet,0.763
Abohar,Kalipur,0.91
Abohar,Kalmeshwar,0.869
Abohar,Kalwakurthy,0.824
Abohar,Kamakhyanagar,0.835
Abohar,Kamthi,0.768
Abohar,Kangra,0.543
Abohar,Kangra(Baijnath),0.875
Abohar,Kangra(Jaisinghpur),0.688
Abohar,Madlauda,0.503
Abohar,Nagpur,0.621
Abohar,Sonepat,0.53
Abohar,kalanwali,0.695
Abu Road,Achalda,0.929
Abu Road,Achnera,0.787
Abu Road,Adilabad(Rythu Bazar),0.867
Abu Road,Adimali,0.861
Abu Road,Agra,0.893
Abu Road,Ahirora,0.945
Abu Road,Ahmedabad,0.876
Abu Road,Ahmednagar,0.921
Abu Road,Ajmer(F&V),0.792
Abu Road,Ajuha,0.936
Abu Road,Akbarpur,0.96
Abu Road,Alappuzha,0.924
Abu Road,Aligarh,0.917
Abu Road,Alipurduar,0.962
Abu Road,Alirajpur(F&V),0.737
Abu Road,Aluva,0.714
Abu Road,Alwar (F&V),0.895
Abu Road,Ambala Cantt.,0.907
Abu Road,Ambala City(Subji Mandi),0.864
Abu Road,Amrawati(Frui & Veg. Market),0.818
Abu Road,Amritsar(Amritsar Mewa Mandi),0.889
Abu Road,Amroha,0.941
Abu Road,"Anand(Veg,Yard,Anand)",0.898
Abu Road,Anandnagar,0.945
Abu Road,Anchal,0.807
Abu Road,Angamaly,0.901
Abu Road,Angul(Atthamallick),0.691
Abu Road,Ankleshwar,0.848
Abu Road,Anoop Shahar,0.875
Abu Road,Anwala,0.845
Abu Road,Aralamoodu,0.87
Abu Road,Asansol,0.812
Abu Road,Ashahipora (Anantnagh),0.552
Abu Road,Atarra,0.923
Abu Road,Athirampuzha,0.915
Abu Road,Attingal,0.852
Abu Road,Auraiya,0.932
Abu Road,Azadpur,0.945
Abu Road,Azamgarh,0.955
Abu Road,Baberu,0.965
Abu Road,Badayoun,0.938
Abu Road,Badwaha,0.759
Abu Road,Bagepalli,0.559
Abu Road,Bahraich,0.956
Abu Road,Balarampur,0.885
Abu Road,Ballabhgarh,0.94
Abu Road,Ballia,0.939
Abu Road,Balrampur,0.93
Abu Road,Balugaon,0.902
Abu Road,Banda,0.929
Abu Road,Bandrol,0.8
Abu Road,Bangarmau,0.954
Abu Road,Bangarpet,0.867
Abu Road,Barabanki,0.96
Abu Road,Barara,0.814
Abu Road,Barasat,0.897
Abu Road,Baraut,0.932
Abu Road,Bareilly,0.938
Abu Road,Bargarh,0.924
Abu Road,Bargarh(Barapalli),0.918
Abu Road,Bariwala,0.813
Abu Road,Barnala,0.873
Abu Road,Barwala,0.767
Abu Road,Basti,0.954
Abu Road,Batote,0.896
Abu Road,Bayana,0.685
Abu Road,Belacoba,0.948
Abu Road,Belgaum,0.912
Abu Road,Bhadara,0.609
Abu Road,Bhadrak,0.946
Abu Road,Bharthna,0.944
Abu Road,Bharuasumerpur,0.937
Abu Road,Bharwari,0.938
Abu Road,Bhawanigarh,0.948
Abu Road,Bhawanipatna,0.928
Abu Road,Bhiwani,0.844
Abu Road,Bhopal(F&V),0.951
Abu Road,Bhuna,0.86
Abu Road,Bhuntar,0.901
Abu Road,Bhusaval,0.779
Abu Road,Biaora,0.741
Abu Road,Bijnaur,0.852
Abu Road,Bikaner (F&V),0.783
Abu Road,Bilaspur,0.898
Abu Road,Bilimora,0.924
Abu Road,Bilsi,0.935
Abu Road,Bindki,0.924
Abu Road,"Binny Mill (F&V), Bangalore",0.866
Abu Road,Birbhum,0.908
Abu Road,Bowenpally,0.829
Abu Road,Buland Shahr,0.95
Abu Road,Ch. Dadri,0.884
Abu Road,Chaandpur,0.829
Abu Road,Chakdah,0.86
Abu Road,Chamba,0.906
Abu Road,Champadanga,0.938
Abu Road,Chandabali,0.94
Abu Road,Chandausi,0.947
Abu Road,Chandigarh(Grain/Fruit),0.905
Abu Road,Chandoli,0.946
Abu Road,Chandrapur(Ganjwad),0.908
Abu Road,Chandvad,0.803
Abu Road,Channapatana,0.855
Abu Road,Charra,0.935
Abu Road,Chathanoor,0.925
Abu Road,Chatta Krushak Bazar,0.874
Abu Road,Chengannur,0.767
Abu Road,Chhachrauli,0.693
Abu Road,Chhindwara(F&V),0.855
Abu Road,Chickkaballapura,0.859
Abu Road,Chikkamagalore,0.851
Abu Road,Chintamani,0.783
Abu Road,Chirgaon,0.935
Abu Road,Chittorgarh,0.78
Abu Road,Chitwadagaon,0.95
Abu Road,Chorichora,0.863
Abu Road,Churu,0.828
Abu Road,Chutmalpur,0.634
Abu Road,Dabwali,0.867
Abu Road,Dahod(Veg. Market),0.811
Abu Road,Damnagar,0.915
Abu Road,Dasuya,0.804
Abu Road,Davangere,0.87
Abu Road,Deori,0.793
Abu Road,Devariya,0.929
Abu Road,Dewas(F&V),0.881
Abu Road,Dhamnod,0.837
Abu Road,Dhand,0.859
Abu Road,Dhanotu (Mandi),0.558
Abu Road,Dhupguri,0.941
Abu Road,Dinanagar,0.778
Abu Road,Doddaballa Pur,0.923
Abu Road,Doraha,0.922
Abu Road,Dudhansadhan,0.884
Abu Road,Dudhi,0.711
Abu Road,Durg,0.923
Abu Road,Durgapur,0.84
Abu Road,Etah,0.965
Abu Road,Etawah,0.913
Abu Road,Ettumanoor,0.891
Abu Road,Falakata,0.949
Abu Road,Farukh Nagar,0.929
Abu Road,Fatehabad,0.511
Abu Road,Fatehpur,0.933
Abu Road,Fatehpur Sikri,0.933
Abu Road,FerozpurZirkha(Nagina),0.927
Abu Road,Firozabad,0.912
Abu Road,Gadaura,0.83
Abu Road,Ganaur,0.856
Abu Road,Gangoh,0.629
Abu Road,Garh Shankar(Mahalpur),0.62
Abu Road,Gazipur,0.926
Abu Road,Gharaunda,0.89
Abu Road,Ghaziabad,0.951
Abu Road,Ghiraur,0.933
Abu Road,Gohana,0.874
Abu Road,Golagokarnath,0.959
Abu Road,Goluwala,0.859
Abu Road,Gonda,0.924
Abu Road,Gopa,0.723
Abu Road,Gorakhpur,0.934
Abu Road,Gowribidanoor,0.746
Abu Road,Gudimalkapur,0.931
Abu Road,Gurgaon,0.949
Abu Road,Gurusarai,0.928
Abu Road,Haatpipliya,0.902
Abu Road,Habra,0.873
Abu Road,Hamirpur,0.897
Abu Road,Hamirpur(Nadaun),0.818
Abu Road,Hanumangarh Town,0.829
Abu Road,Hanumangarh(Urlivas),0.794
Abu Road,Hapur,0.884
Abu Road,Harda(F&V),0.785
Abu Road,Hardoi,0.903
Abu Road,Hindol,0.906
Abu Road,Hinjilicut,0.91
Abu Road,Hoshangabad,0.526
Abu Road,Indore(F&V),0.866
Abu Road,Jabalpur(F&V),0.85
Abu Road,Jafarganj,0.901
Abu Road,Jagadhri,0.81
Abu Road,Jagnair,0.898
Abu Road,Jahangirabad,0.922
Abu Road,Jaipur (F&V),0.843
Abu Road,Jakhal,0.758
Abu Road,Jalalabad,0.775
Abu Road,Jalandhar City(Jalandhar),0.714
Abu Road,Jalgaon,0.556
Abu Road,Jalore,0.899
Abu Road,Jalpaiguri Sadar,0.891
Abu Road,Jasra,0.907
Abu Road,Jasvantnagar,0.886
Abu Road,Jaunpur,0.73
Abu Road,Jind,0.835
Abu Road,Jodhpur(F&V)(Paota),0.83
Abu Road,Junnar(Narayangaon),0.905
Abu Road,K.R. Pet,0.664
Abu Road,Kalipur,0.934
Abu Road,Kalmeshwar,0.838
Abu Road,Kalwakurthy,0.933
Abu Road,Kamakhyanagar,0.882
Abu Road,Kamthi,0.864
Abu Road,Kangra,0.744
Abu Road,Kangra(Baijnath),0.777
Abu Road,Kangra(Jaisinghpur),0.735
Abu Road,Kota (F&V),0.713
Abu Road,Kottayam,0.565
Abu Road,Madlauda,0.624
Abu Road,Nagpur,0.693
Abu Road,Neyyatinkara,0.632
Abu Road,Nuh,0.636
Abu Road,Petlawad,0.613
Abu Road,Thrippunithura,0.661
Abu Road,kalanwali,0.721
Achalda,Achnera,0.808
Achalda,Adilabad(Rythu Bazar),0.873
Achalda,Adimali,0.866
Achalda,Agra,0.987
Achalda,Ahirora,0.992
Achalda,Ahmedabad,0.925
Achalda,Ahmednagar,0.96
Achalda,Ajmer(F&V),0.616
Achalda,Ajuha,0.991
Achalda,Akbarpur,0.98
Achalda,Alappuzha,0.909
Achalda,Aligarh,0.982
Achalda,Alipurduar,0.951
Achalda,Alirajpur(F&V),0.83
Achalda,Aluva,0.631
Achalda,Alwar (F&V),0.943
Achalda,Ambala Cantt.,0.939
Achalda,Ambala City(Subji Mandi),0.823
Achalda,Amrawati(Frui & Veg. Market),0.914
Achalda,Amritsar(Amritsar Mewa Mandi),0.941
Achalda,Amroha,0.988
Achalda,"Anand(Veg,Yard,Anand)",0.932
Achalda,Anandnagar,0.986
Achalda,Anchal,0.822
Achalda,Angamaly,0.902
Achalda,Angul(Atthamallick),0.685
Achalda,Ankleshwar,0.942
Achalda,Anoop Shahar,0.907
Achalda,Anwala,0.904
Achalda,Aralamoodu,0.867
Achalda,Asansol,0.932
Achalda,Ashahipora (Anantnagh),0.573
Achalda,Atarra,0.98
Achalda,Athirampuzha,0.903
Achalda,Attingal,0.86
Achalda,Auraiya,0.996
Achalda,Azadpur,0.94
Achalda,Azamgarh,0.982
Achalda,Baberu,0.959
Achalda,Badayoun,0.987
Achalda,Badwaha,0.882
Achalda,Bahraich,0.982
Achalda,Balarampur,0.923
Achalda,Ballabhgarh,0.934
Achalda,Ballia,0.987
Achalda,Balrampur,0.918
Achalda,Balugaon,0.95
Achalda,Banda,0.98
Achalda,Bandrol,0.81
Achalda,Bangarmau,0.987
Achalda,Bangarpet,0.92
Achalda,Barabanki,0.972
Achalda,Barara,0.82
Achalda,Barasat,0.957
Achalda,Baraut,0.933
Achalda,Bareilly,0.987
Achalda,Bargarh,0.965
Achalda,Bargarh(Barapalli),0.964
Achalda,Bariwala,0.672
Achalda,Barnala,0.918
Achalda,Barwala,0.881
Achalda,Basti,0.987
Achalda,Batote,0.976
Achalda,Bayana,0.666
Achalda,Belacoba,0.907
Achalda,Belgaum,0.949
Achalda,Bhadara,0.594
Achalda,Bhadrak,0.938
Achalda,Bharthna,0.991
Achalda,Bharuasumerpur,0.982
Achalda,Bharwari,0.981
Achalda,Bhawanigarh,0.947
Achalda,Bhawanipatna,0.888
Achalda,Bhiwani,0.901
Achalda,Bhopal(F&V),0.932
Achalda,Bhuna,0.91
Achalda,Bhuntar,0.93
Achalda,Bhusaval,0.791
Achalda,Biaora,0.82
Achalda,Bijnaur,0.93
Achalda,Bikaner (F&V),0.822
Achalda,Bilaspur,0.913
Achalda,Bilimora,0.957
Achalda,Bilsi,0.974
Achalda,Bindki,0.968
Achalda,"Binny Mill (F&V), Bangalore",0.898
Achalda,Birbhum,0.92
Achalda,Bowenpally,0.762
Achalda,Buland Shahr,0.978
Achalda,Ch. Dadri,0.967
Achalda,Chaandpur,0.849
Achalda,Chakdah,0.933
Achalda,Chamba,0.926
Achalda,Champadanga,0.955
Achalda,Chandabali,0.906
Achalda,Chandausi,0.986
Achalda,Chandigarh(Grain/Fruit),0.959
Achalda,Chandoli,0.989
Achalda,Chandrapur(Ganjwad),0.892
Achalda,Chandvad,0.801
Achalda,Channapatana,0.852
Achalda,Charra,0.964
Achalda,Chathanoor,0.939
Achalda,Chatta Krushak Bazar,0.864
Achalda,Chengannur,0.737
Achalda,Chhachrauli,0.704
Achalda,Chhindwara(F&V),0.932
Achalda,Chickkaballapura,0.884
Achalda,Chikkamagalore,0.944
Achalda,Chintamani,0.843
Achalda,Chirgaon,0.981
Achalda,Chittorgarh,0.84
Achalda,Chitwadagaon,0.984
Achalda,Chorichora,0.861
Achalda,Churu,0.848
Achalda,Chutmalpur,0.682
Achalda,Dabwali,0.933
Achalda,Dahod(Veg. Market),0.888
Achalda,Damnagar,0.889
Achalda,Dasuya,0.87
Achalda,Davangere,0.857
Achalda,Deori,0.709
Achalda,Devariya,0.96
Achalda,Dewas(F&V),0.869
Achalda,Dhamnod,0.784
Achalda,Dhanaura,0.516
Achalda,Dhand,0.83
Achalda,Dhupguri,0.894
Achalda,Dinanagar,0.778
Achalda,Doddaballa Pur,0.957
Achalda,Doraha,0.94
Achalda,Dudhansadhan,0.902
Achalda,Dudhi,0.704
Achalda,Durg,0.907
Achalda,Durgapur,0.945
Achalda,Etah,0.954
Achalda,Etawah,0.946
Achalda,Ettumanoor,0.918
Achalda,Falakata,0.947
Achalda,Farukh Nagar,0.908
Achalda,Fatehpur,0.983
Achalda,Fatehpur Sikri,0.981
Achalda,FerozpurZirkha(Nagina),0.947
Achalda,Firozabad,0.98
Achalda,Gadaura,0.831
Achalda,Ganaur,0.923
Achalda,Gangoh,0.651
Achalda,Garh Shankar(Mahalpur),0.646
Achalda,Gazipur,0.934
Achalda,Gharaunda,0.906
Achalda,Ghaziabad,0.962
Achalda,Ghiraur,0.95
Achalda,Gohana,0.86
Achalda,Golagokarnath,0.96
Achalda,Goluwala,0.765
Achalda,Gonda,0.95
Achalda,Gopa,0.69
Achalda,Gorakhpur,0.963
Achalda,Gowribidanoor,0.739
Achalda,Gudimalkapur,0.9
Achalda,Gurgaon,0.93
Achalda,Gurusarai,0.973
Achalda,Haatpipliya,0.944
Achalda,Habra,0.925
Achalda,Hamirpur,0.953
Achalda,Hamirpur(Nadaun),0.83
Achalda,Hanumangarh Town,0.878
Achalda,Hanumangarh(Urlivas),0.785
Achalda,Hapur,0.876
Achalda,Harda(F&V),0.832
Achalda,Hardoi,0.915
Achalda,Hindol,0.923
Achalda,Hinjilicut,0.91
Achalda,Hoshangabad,0.593
Achalda,Indore(F&V),0.903
Achalda,Jabalpur(F&V),0.81
Achalda,Jafarganj,0.906
Achalda,Jagadhri,0.873
Achalda,Jagnair,0.928
Achalda,Jahangirabad,0.935
Achalda,Jaipur (F&V),0.92
Achalda,Jakhal,0.814
Achalda,Jalalabad,0.815
Achalda,Jalandhar City(Jalandhar),0.735
Achalda,Jalgaon,0.583
Achalda,Jalore,0.934
Achalda,Jalpaiguri Sadar,0.824
Achalda,Jasra,0.956
Achalda,Jasvantnagar,0.903
Achalda,Jaunpur,0.806
Achalda,Jind,0.868
Achalda,Jodhpur(F&V)(Paota),0.793
Achalda,Junnar(Narayangaon),0.922
Achalda,K.R. Pet,0.694
Achalda,Kalipur,0.94
Achalda,Kalmeshwar,0.838
Achalda,Kalwakurthy,0.903
Achalda,Kamakhyanagar,0.933
Achalda,Kamthi,0.887
Achalda,Kangra,0.684
Achalda,Kangra(Baijnath),0.825
Achalda,Kangra(Jaisinghpur),0.713
Achalda,Kota (F&V),0.652
Achalda,Kottayam,0.507
Achalda,Madlauda,0.641
Achalda,Mysore (Bandipalya),0.53
Achalda,Nagpur,0.743
Achalda,Neyyatinkara,0.585
Achalda,Nuh,0.584
Achalda,Petlawad,0.57
Achalda,Sonepat,0.538
Achalda,Thrippunithura,0.594
Achalda,kalanwali,0.717
Achnera,Adilabad(Rythu Bazar),0.888
Achnera,Adimali,0.83
Achnera,Agra,0.787
Achnera,Ahirora,0.809
Achnera,Ahmedabad,0.868
Achnera,Ahmednagar,0.874
Achnera,Ajmer(F&V),0.507
Achnera,Ajuha,0.801
Achnera,Akbarpur,0.846
Achnera,Alappuzha,0.876
Achnera,Aligarh,0.793
Achnera,Alipurduar,0.813
Achnera,Alirajpur(F&V),0.695
Achnera,Aluva,0.707
Achnera,Alwar (F&V),0.817
Achnera,Ambala Cantt.,0.719
Achnera,Ambala City(Subji Mandi),0.602
Achnera,Amrawati(Frui & Veg. Market),0.875
Achnera,Amritsar(Amritsar Mewa Mandi),0.728
Achnera,Amroha,0.791
Achnera,"Anand(Veg,Yard,Anand)",0.903
Achnera,Anandnagar,0.824
Achnera,Anchal,0.641
Achnera,Angamaly,0.895
Achnera,Angul(Atthamallick),0.943
Achnera,Ankleshwar,0.854
Achnera,Anoop Shahar,0.798
Achnera,Anwala,0.638
Achnera,Aralamoodu,0.907
Achnera,Asansol,0.792
Achnera,Atarra,0.832
Achnera,Athirampuzha,0.893
Achnera,Attingal,0.883
Achnera,Auraiya,0.82
Achnera,Azadpur,0.783
Achnera,Azamgarh,0.827
Achnera,Baberu,0.805
Achnera,Badayoun,0.777
Achnera,Badwaha,0.722
Achnera,Bahraich,0.843
Achnera,Balarampur,0.829
Achnera,Ballabhgarh,0.779
Achnera,Ballia,0.803
Achnera,Balrampur,0.779
Achnera,Balugaon,0.839
Achnera,Banda,0.839
Achnera,Bandrol,0.952
Achnera,Bangarmau,0.807
Achnera,Bangarpet,0.845
Achnera,Barabanki,0.834
Achnera,Barara,0.595
Achnera,Barasat,0.822
Achnera,Baraut,0.73
Achnera,Bareilly,0.779
Achnera,Bargarh,0.804
Achnera,Bargarh(Barapalli),0.812
Achnera,Barnala,0.686
Achnera,Barwala,0.679
Achnera,Basti,0.831
Achnera,Batote,0.827
Achnera,Belacoba,0.789
Achnera,Belgaum,0.851
Achnera,Bhadrak,0.853
Achnera,Bharthna,0.791
Achnera,Bharuasumerpur,0.827
Achnera,Bharwari,0.781
Achnera,Bhawanigarh,0.732
Achnera,Bhawanipatna,0.791
Achnera,Bhiwani,0.682
Achnera,Bhopal(F&V),0.798
Achnera,Bhuna,0.758
Achnera,Bhuntar,0.824
Achnera,Bhusaval,0.645
Achnera,Biaora,0.627
Achnera,Bijnaur,0.68
Achnera,Bikaner (F&V),0.69
Achnera,Bilaspur,0.703
Achnera,Bilimora,0.895
Achnera,Bilsi,0.743
Achnera,Bindki,0.777
Achnera,"Binny Mill (F&V), Bangalore",0.846
Achnera,Birbhum,0.814
Achnera,Bowenpally,0.848
Achnera,Buland Shahr,0.775
Achnera,Ch. Dadri,0.814
Achnera,Chaandpur,0.571
Achnera,Chakdah,0.862
Achnera,Chamba,0.694
Achnera,Champadanga,0.859
Achnera,Chandabali,0.656
Achnera,Chandausi,0.786
Achnera,Chandigarh(Grain/Fruit),0.756
Achnera,Chandoli,0.811
Achnera,Chandrapur(Ganjwad),0.767
Achnera,Chandvad,0.678
Achnera,Channapatana,0.871
Achnera,Charra,0.76
Achnera,Chathanoor,0.894
Achnera,Chatta Krushak Bazar,0.786
Achnera,Chengannur,0.694
Achnera,Chhindwara(F&V),0.881
Achnera,Chickkaballapura,0.87
Achnera,Chikkamagalore,0.875
Achnera,Chintamani,0.829
Achnera,Chirgaon,0.829
Achnera,Chittorgarh,0.803
Achnera,Chitwadagaon,0.788
Achnera,Chorichora,0.634
Achnera,Churu,0.631
Achnera,Dabwali,0.738
Achnera,Dahod(Veg. Market),0.832
Achnera,Damnagar,0.893
Achnera,Dasuya,0.626
Achnera,Davangere,0.859
Achnera,Deori,0.564
Achnera,Devariya,0.76
Achnera,Dewas(F&V),0.691
Achnera,Dhamnod,0.764
Achnera,Dhand,0.653
Achnera,Dhupguri,0.724
Achnera,Dinanagar,0.589
Achnera,Doddaballa Pur,0.841
Achnera,Doraha,0.732
Achnera,Dudhansadhan,0.614
Achnera,Durg,0.878
Achnera,Durgapur,0.815
Achnera,Etah,0.791
Achnera,Etawah,0.715
Achnera,Ettumanoor,0.928
Achnera,Falakata,0.76
Achnera,Farukh Nagar,0.689
Achnera,Fatehpur,0.783
Achnera,Fatehpur Sikri,0.778
Achnera,FerozpurZirkha(Nagina),0.738
Achnera,Firozabad,0.766
Achnera,Gadaura,0.544
Achnera,Ganaur,0.766
Achnera,Gazipur,0.717
Achnera,Gharaunda,0.705
Achnera,Ghaziabad,0.741
Achnera,Ghiraur,0.746
Achnera,Gohana,0.629
Achnera,Golagokarnath,0.752
Achnera,Goluwala,0.543
Achnera,Gonda,0.774
Achnera,Gopa,0.572
Achnera,Gorakhpur,0.79
Achnera,Gowribidanoor,0.724
Achnera,Gudimalkapur,0.905
Achnera,Gurgaon,0.795
Achnera,Gurusarai,0.777
Achnera,Haatpipliya,0.729
Achnera,Habra,0.808
Achnera,Hamirpur,0.772
Achnera,Hamirpur(Nadaun),0.581
Achnera,Hanumangarh Town,0.637
Achnera,Hapur,0.624
Achnera,Harda(F&V),0.677
Achnera,Hardoi,0.694
Achnera,Hindol,0.824
Achnera,Hinjilicut,0.898
Achnera,Indore(F&V),0.895
Achnera,Jabalpur(F&V),0.789
Achnera,Jafarganj,0.704
Achnera,Jagadhri,0.694
Achnera,Jagnair,0.763
Achnera,Jahangirabad,0.727
Achnera,Jaipur (F&V),0.685
Achnera,Jakhal,0.615
Achnera,Jalore,0.721
Achnera,Jalpaiguri Sadar,0.622
Achnera,Jasra,0.725
Achnera,Jasvantnagar,0.687
Achnera,Jind,0.577
Achnera,Jodhpur(F&V)(Paota),0.596
Achnera,Junnar(Narayangaon),0.89
Achnera,Kalipur,0.815
Achnera,Kalmeshwar,0.631
Achnera,Kalwakurthy,0.892
Achnera,Kamakhyanagar,0.789
Achnera,Kamthi,0.831
Achnera,Kangra,0.557
Achnera,Kangra(Baijnath),0.625
Achnera,Nuh,0.508
Achnera,Thrippunithura,0.624
Adilabad(Rythu Bazar),Adimali,0.89
Adilabad(Rythu Bazar),Agra,0.86
Adilabad(Rythu Bazar),Ahirora,0.881
Adilabad(Rythu Bazar),Ahmedabad,0.928
Adilabad(Rythu Bazar),Ahmednagar,0.908
Adilabad(Rythu Bazar),Ajmer(F&V),0.556
Adilabad(Rythu Bazar),Ajuha,0.864
